Seq,GLON,GLAT,Flux,Vel,Tb,e_Tb,amaj,amin,PA,Ref,_RA.icrs,_DE.icrs
1,0.57307,0.04923,7.32,-33.2,63.14,12.60,6.00,0.66,3.7,,266.69672,-28.42107
2,0.56038,0.02935,3.74,49.7,24.77,4.38,6.00,0.86,2.9,,266.70856,-28.44223
3,0.55883,-0.09493,2.00,-16.6,23.00,4.17,2.27,1.31,3.8,,266.82854,-28.50799
4,0.55429,-0.11371,2.63,-16.6,29.65,4.94,2.24,1.35,5.2,,266.84415,-28.52160
5,0.54816,0.04345,6.57,49.7,44.01,6.30,6.00,0.85,4.7,,266.68764,-28.44536
6,0.53183,-0.02997,11.49,49.7,51.91,6.19,6.00,1.26,3.3,,266.74940,-28.49741
7,0.53134,-0.02220,5.67,33.2,51.40,7.58,3.73,1.01,0.2,,266.74155,-28.49380
8,0.49866,-0.04223,2.68,99.5,33.00,5.07,2.62,1.06,4.3,,266.74176,-28.53213
9,0.46208,-0.07243,5.55,82.9,63.26,5.93,2.63,1.14,-0.4,,266.74956,-28.57907
10,0.43104,0.03018,6.49,0.0,52.39,6.99,4.92,0.86,2.7,,266.63135,-28.55235
11,0.43031,0.02641,8.13,0.0,55.03,6.55,5.37,0.94,1.9,,266.63458,-28.55493
12,0.42780,0.02715,11.42,16.6,89.83,8.74,5.05,0.86,1.9,,266.63238,-28.55669
13,0.42732,-0.13414,0.35,-116.0,15.41,3.06,1.19,0.65,196.1,,266.78914,-28.64078
14,0.41767,-0.05960,3.98,82.9,41.43,6.33,3.01,1.09,5.8,,266.71083,-28.61038
15,0.41177,-0.02976,3.42,82.9,26.16,4.88,4.56,0.98,-183.6,,266.67829,-28.59994
16,0.40449,0.05625,8.29,16.6,49.28,9.65,4.75,1.21,1.2,,266.59028,-28.56149
17,0.35465,-0.09316,2.87,99.5,29.34,5.14,2.55,1.31,-7.2,,266.70626,-28.68167
18,0.34644,-0.10415,7.97,82.9,23.40,3.37,6.00,1.94,-0.9,,266.71211,-28.69439
19,0.34168,-0.01792,6.27,66.3,57.00,3.18,2.87,1.31,-190.3,,266.62530,-28.65369
20,0.33745,-0.08545,2.50,99.5,38.92,5.08,1.94,1.13,-11.7,,266.68857,-28.69237
21,0.33109,-0.00765,2.64,66.3,26.37,3.20,3.08,1.11,0.3,,266.60903,-28.65741
22,0.32893,-0.00808,1.36,82.9,15.82,3.13,2.90,1.01,-10.8,,266.60817,-28.65947
23,0.31756,-0.09318,1.13,49.7,17.90,3.45,1.64,1.31,-199.4,,266.68434,-28.71338
24,0.31721,-0.11052,1.14,49.7,17.83,3.29,1.96,1.11,-24.4,,266.70103,-28.72268
25,0.31270,-0.12153,4.42,49.7,83.72,3.14,1.61,1.12,-12.1,,266.70909,-28.73225
26,0.31129,-0.07745,1.97,49.7,23.52,3.73,2.35,1.22,-26.0,,266.66530,-28.71058
27,0.30683,-0.09038,4.17,49.7,81.35,3.76,1.70,1.03,-13.3,,266.67526,-28.72110
28,0.29177,-0.08839,2.17,-82.9,31.23,3.35,1.90,1.25,7.5,,266.66440,-28.73294
29,0.28870,0.03819,13.81,0.0,29.12,5.41,6.00,2.70,-191.0,,266.53928,-28.66979
30,0.28826,0.03358,3.90,0.0,53.23,10.51,2.88,0.87,-1.4,,266.54351,-28.67256
31,0.28790,0.02572,9.46,0.0,28.58,5.07,6.00,1.22,1.2,,266.55095,-28.67696
32,0.28778,0.03178,6.13,0.0,95.57,8.96,3.38,1.00,-1.5,,266.54498,-28.67391
33,0.28282,0.00865,3.58,116.0,35.65,3.94,3.01,1.14,-9.1,,266.56456,-28.69017
34,0.28200,0.04905,1.37,116.0,17.40,2.48,2.99,0.90,0.0,,266.52474,-28.66986
35,0.27847,0.05379,5.77,0.0,44.92,6.91,4.18,1.05,0.6,,266.51803,-28.67041
36,0.27824,0.03784,7.63,0.0,91.57,12.65,2.79,1.02,-4.2,,266.53342,-28.67891
37,0.26411,0.03025,35.72,0.0,529.92,18.02,2.53,0.91,-1.6,,266.53244,-28.69492
38,0.26334,0.03499,17.44,33.2,203.29,25.65,2.64,1.11,-3.8,,266.52736,-28.69311
39,0.26076,-0.06171,5.56,82.9,43.47,4.59,2.73,1.60,-2.8,,266.62003,-28.74559
40,0.25660,0.03957,9.54,16.6,76.30,9.94,3.68,1.16,4.2,,266.51891,-28.69649
41,0.25344,0.02118,21.70,33.2,260.14,26.66,2.74,1.04,-3.7,,266.53494,-28.70875
42,0.25338,0.01865,20.38,33.2,161.11,26.99,3.79,1.14,-8.4,,266.53737,-28.71012
43,0.25160,0.01312,20.04,16.6,165.75,11.84,3.33,1.24,-1.3,,266.54170,-28.71452
44,0.24827,0.00324,15.15,16.6,127.00,20.79,3.26,1.25,-191.3,,266.54935,-28.72250
45,0.24654,0.00297,6.82,33.2,274.56,39.00,3.77,1.25,5.1,,266.54858,-28.72412
46,0.24592,-0.05180,37.88,66.3,99.69,4.09,2.29,1.02,-4.0,,266.60158,-28.75312
47,0.24153,-0.06674,1.36,66.3,22.41,3.11,1.96,1.06,-12.4,,266.61354,-28.76463
48,0.23342,-0.00047,32.02,33.2,497.48,56.52,2.29,0.96,-2.1,,266.54416,-28.73711
49,0.23106,-0.00998,24.26,33.2,88.54,14.88,6.00,1.56,4.5,,266.55202,-28.74407
50,0.22401,0.01991,2.53,16.6,28.20,4.76,2.81,1.09,-1.5,,266.51872,-28.73455
51,0.21364,-0.01632,5.03,82.9,19.89,3.37,4.91,1.76,-174.9,,266.54787,-28.76225
52,0.21266,-0.03738,2.03,33.2,25.03,3.44,2.50,1.11,-6.9,,266.56781,-28.77404
53,0.20839,0.00144,0.61,49.7,12.89,2.58,1.93,0.84,-9.3,,266.52745,-28.75750
54,0.20507,-0.02072,6.15,33.2,101.53,4.52,2.25,0.92,-4.5,,266.54707,-28.77186
55,0.20259,0.04108,1.17,82.9,13.55,2.64,2.82,1.05,-4.1,,266.48539,-28.74183
56,0.20142,-0.01971,1.48,82.9,84.07,4.40,2.61,1.11,-0.7,,266.54392,-28.77445
57,0.20089,0.02738,1.49,49.7,16.36,3.00,2.69,1.16,-5.7,,266.49773,-28.75041
58,0.20055,-0.03783,7.13,33.2,20.26,3.67,2.35,1.06,0.7,,266.56106,-28.78462
59,0.19687,-0.03728,10.58,82.9,94.06,5.37,3.23,1.19,0.9,,266.55834,-28.78747
60,0.19597,0.00333,4.64,33.2,39.76,3.46,3.47,1.15,-2.6,,266.51824,-28.76712
61,0.19254,-0.06985,2.82,82.9,23.88,4.44,3.25,1.24,6.9,,266.58752,-28.80810
62,0.19253,-0.05463,3.29,16.6,20.65,3.84,4.28,1.27,4.4,,266.57268,-28.80020
63,0.18750,-0.05862,1.07,82.9,22.75,4.50,1.84,0.87,-20.5,,266.57359,-28.80657
64,0.18532,-0.04157,0.96,82.9,21.43,4.26,1.55,0.99,-0.5,,266.55567,-28.79957
65,0.18500,0.00011,2.02,49.7,24.91,3.38,2.56,1.08,0.3,,266.51486,-28.77817
66,0.18302,0.02401,2.67,66.3,25.61,3.33,3.49,1.02,1.0,,266.49040,-28.76742
67,0.18011,-0.06884,9.86,0.0,37.17,3.97,6.00,1.51,198.7,,266.57917,-28.81820
68,0.17952,-0.02330,2.32,-66.3,27.16,2.96,2.30,1.27,-6.4,,266.53442,-28.79502
69,0.16140,-0.08581,3.77,82.9,49.32,5.46,2.07,1.26,-3.4,,266.58462,-28.84300
70,0.16114,-0.05576,3.52,16.6,23.70,3.46,3.76,1.35,10.9,,266.55516,-28.82760
71,0.16007,0.03726,3.81,82.9,30.73,3.33,2.99,1.36,5.4,,266.46387,-28.78012
72,0.15974,-0.08534,3.66,82.9,26.39,4.59,2.68,1.84,219.0,,266.58317,-28.84418
73,0.15677,-0.09824,2.31,66.3,27.06,5.00,2.54,1.15,231.6,,266.59399,-28.85342
74,0.15653,-0.09594,1.10,66.3,24.69,4.82,1.50,1.01,-17.4,,266.59161,-28.85243
75,0.15609,-0.01274,1.48,82.9,21.25,2.61,2.17,1.10,261.6,,266.51022,-28.80954
76,0.15451,0.03194,5.23,99.5,14.58,2.33,3.14,1.17,251.8,,266.46575,-28.78764
77,0.15415,-0.14875,1.57,-99.5,112.04,4.12,2.02,0.79,225.6,,266.64172,-28.88190
78,0.15293,-0.10582,2.55,66.3,29.40,5.04,2.45,1.21,54.9,,266.59911,-28.86064
79,0.15222,-0.14471,0.43,-99.5,12.36,2.28,1.75,0.68,228.7,,266.63663,-28.88145
80,0.15219,0.01044,1.05,82.9,24.69,2.66,1.91,0.76,246.0,,266.48532,-28.80081
81,0.15149,0.03119,1.97,82.9,33.26,3.79,2.02,1.00,252.9,,266.46468,-28.79061
82,0.14727,-0.09708,1.58,82.9,22.94,3.20,2.06,1.14,234.6,,266.58722,-28.86093
83,0.14591,0.00659,0.38,49.7,42.49,7.24,2.29,1.25,73.0,,266.48534,-28.80817
84,0.14583,-0.12922,1.50,66.3,40.17,1.58,0.92,0.35,-133.8,,266.61773,-28.87886
85,0.14560,-0.12644,3.56,66.3,23.01,3.35,2.19,1.02,223.5,,266.61488,-28.87761
86,0.14358,0.00306,35.02,66.3,294.05,13.22,3.60,1.13,78.1,,266.48739,-28.81200
87,0.14240,-0.09352,0.19,265.2,7.41,1.48,1.62,0.54,233.6,,266.58086,-28.86324
88,0.14191,-0.04806,1.60,33.2,24.72,3.24,2.07,1.07,238.8,,266.53623,-28.84002
89,0.14078,-0.08507,1.75,-16.6,36.02,2.21,1.89,0.88,234.6,,266.57166,-28.86023
90,0.13691,0.03107,1.43,-16.6,16.86,3.29,1.95,0.86,251.6,,266.45614,-28.80312
91,0.13659,-0.14041,0.83,33.2,29.08,4.48,1.91,0.88,229.2,,266.62317,-28.89257
92,0.13648,0.00287,2.34,132.6,27.91,3.59,2.09,1.37,252.4,,266.48336,-28.81816
93,0.13234,0.02286,2.87,-33.2,56.73,3.91,2.11,0.82,67.6,,266.46142,-28.81129
94,0.13061,-0.12955,19.32,49.7,38.86,4.56,6.00,2.83,32.8,,266.60902,-28.89204
95,0.12902,0.02518,0.49,-16.6,110.21,6.75,6.00,1.58,242.9,,266.45719,-28.81292
96,0.12883,0.02502,30.59,-16.6,59.84,3.25,0.75,0.37,-93.3,,266.45723,-28.81316
97,0.12849,-0.07990,30.90,16.6,74.86,5.32,2.13,0.89,230.3,,266.55932,-28.86804
98,0.12762,-0.09609,4.15,16.6,350.35,10.84,2.49,1.21,40.0,,266.57459,-28.87720
99,0.12743,-0.09518,8.15,16.6,113.85,10.35,1.62,1.51,320.3,,266.57359,-28.87689
100,0.11942,-0.11160,12.28,33.2,126.28,23.12,2.39,1.39,227.8,,266.58486,-28.89227
101,0.11876,-0.03267,5.22,66.3,54.16,9.44,2.42,1.36,58.2,,266.50748,-28.85179
102,0.11788,-0.11073,68.67,33.2,87.45,15.63,6.00,4.47,255.2,,266.58310,-28.89313
103,0.11669,-0.10904,1.33,82.9,17.11,2.99,2.51,1.06,234.6,,266.58074,-28.89327
104,0.11254,-0.01404,1.41,66.3,247.52,21.43,2.30,1.06,61.8,,266.48562,-28.84741
105,0.11200,-0.04660,17.67,-66.3,25.94,2.99,1.85,1.00,237.9,,266.51705,-28.86481
106,0.11066,-0.00078,40.61,66.3,700.63,38.37,2.20,0.90,246.6,,266.47158,-28.84211
107,0.11045,0.00267,62.20,49.7,201.28,6.09,6.00,4.39,205.2,,266.46809,-28.84049
108,0.10984,-0.08124,155.22,66.3,533.96,69.07,3.49,1.14,236.6,,266.54955,-28.88467
109,0.10925,-0.09108,43.97,49.7,241.20,43.31,3.44,1.81,71.1,,266.55880,-28.89029
110,0.10797,-0.08989,33.18,49.7,376.04,63.78,2.20,1.37,56.0,,266.55688,-28.89077
111,0.10729,-0.08458,161.85,49.7,1510.15,19.73,2.56,1.43,55.2,,266.55129,-28.88859
112,0.10535,-0.00312,12.79,33.2,179.19,14.86,2.30,1.06,64.2,,266.47070,-28.84786
113,0.10402,-0.08034,197.63,49.7,1783.81,127.98,2.38,1.59,68.8,,266.54522,-28.88917
114,0.10344,-0.08196,104.14,49.7,1004.45,149.02,2.27,1.56,41.9,,266.54645,-28.89051
115,0.10297,-0.00477,1.85,49.7,198.27,34.46,2.06,1.50,247.5,,266.47090,-28.85075
116,0.10273,0.05847,17.94,99.5,27.56,4.53,2.52,0.91,77.5,,266.40913,-28.81802
117,0.10087,0.05790,3.54,99.5,50.85,4.92,2.45,0.97,72.8,,266.40858,-28.81991
118,0.10077,-0.00734,166.60,66.3,640.39,38.49,5.66,1.57,255.6,,266.47210,-28.85397
119,0.10071,-0.00614,46.34,66.3,736.44,49.00,1.99,1.08,64.4,,266.47089,-28.85340
120,0.09995,-0.00756,20.52,66.3,429.80,31.75,1.23,0.40,62.9,,266.47182,-28.85478
121,0.09981,-0.08000,6.19,49.7,442.89,51.45,1.84,0.86,234.1,,266.54238,-28.89259
122,0.09785,-0.02001,15.48,49.7,205.16,13.72,2.13,1.21,64.3,,266.48271,-28.86306
123,0.09694,-0.06808,6.04,33.2,47.17,9.21,2.34,1.87,223.1,,266.52905,-28.88884
124,0.09613,-0.07940,53.96,66.3,258.23,27.04,3.09,2.31,78.9,,266.53961,-28.89542
125,0.09154,-0.11098,1.46,82.9,19.08,2.96,2.12,1.23,235.3,,266.56770,-28.91577
126,0.08815,-0.09775,2.98,16.6,48.30,5.83,2.15,0.98,231.0,,266.55278,-28.91178
127,0.08575,-0.03094,5.55,49.7,101.63,6.65,2.12,0.88,67.4,,266.48618,-28.87908
128,0.08339,-0.05188,3.48,33.2,56.37,9.69,1.97,1.07,232.9,,266.50520,-28.89199
129,0.08184,-0.14598,2.25,-116.0,30.14,2.37,2.38,1.07,226.0,,266.59610,-28.94224
130,0.07616,-0.14549,4.14,16.6,44.51,5.50,2.54,1.25,233.2,,266.59225,-28.94684
131,0.07527,-0.07269,8.31,66.3,215.12,19.99,2.58,1.31,241.4,,266.52067,-28.90975
132,0.07522,-0.14753,21.29,16.6,31.64,5.07,3.56,2.52,-222.1,,266.59369,-28.94870
133,0.07394,-0.11272,2.22,82.9,29.39,2.84,1.91,1.35,229.4,,266.55895,-28.93170
134,0.07324,-0.08184,6.75,49.7,168.02,19.80,1.83,0.75,231.3,,266.52839,-28.91624
135,0.06623,-0.08346,27.60,49.7,449.88,45.72,2.16,0.97,235.7,,266.52581,-28.92307
136,0.06567,-0.03929,11.02,33.2,202.25,7.12,2.19,0.85,59.7,,266.48239,-28.90057
137,0.06264,-0.07933,41.42,49.7,424.97,54.89,2.19,1.52,55.7,,266.51965,-28.92399
138,0.06264,-0.07933,41.40,49.7,424.83,54.88,2.19,1.52,55.8,,266.51965,-28.92399
139,0.06220,-0.06987,28.65,49.7,342.17,31.17,2.15,1.33,59.7,,266.51015,-28.91945
140,0.05921,-0.07542,42.88,49.7,417.09,43.40,2.28,1.54,49.5,,266.51379,-28.92489
141,0.05832,-0.02368,22.13,49.7,483.74,11.51,1.86,0.84,242.4,,266.46279,-28.89872
142,0.05747,-0.07676,100.26,33.2,1482.48,36.40,2.20,1.05,232.2,,266.51407,-28.92707
143,0.05258,-0.02065,3.69,33.2,85.68,5.06,1.84,0.80,238.4,,266.45642,-28.90204
144,0.03621,-0.00703,0.86,0.0,14.08,2.57,2.08,1.00,233.3,,266.43340,-28.90893
145,0.02881,0.03942,0.99,66.3,14.10,2.74,2.47,0.97,73.4,,266.38371,-28.89104
146,0.02861,-0.03854,5.99,49.7,88.81,11.47,2.45,0.94,240.7,,266.45961,-28.93182
147,0.02850,-0.07745,1.71,-16.6,29.24,3.30,2.06,0.97,238.6,,266.49751,-28.95217
148,0.02545,0.03683,9.25,82.9,110.31,9.50,2.58,1.11,72.7,,266.38424,-28.89526
149,0.02288,-0.08630,3.06,66.3,36.11,5.23,2.58,1.12,231.5,,266.50281,-28.96157
150,0.02208,0.02794,5.61,82.9,69.64,8.60,2.20,1.25,75.4,,266.39090,-28.90277
151,0.02084,0.03667,91.15,99.5,63.09,6.50,2.38,1.16,254.0,,266.38165,-28.89928
152,0.02055,-0.05013,5.10,0.0,109.47,11.74,6.00,4.74,353.3,,266.46613,-28.94474
153,0.01534,0.03769,8.91,82.9,146.81,12.86,2.16,0.96,68.7,,266.37738,-28.90344
154,0.01145,-0.00382,1.09,33.2,21.80,2.47,2.09,0.82,240.5,,266.41554,-28.92839
155,0.01023,-0.01611,4.80,0.0,57.24,5.17,2.63,1.09,56.1,,266.42680,-28.93583
156,359.99392,-0.08895,15.48,16.6,196.57,13.58,2.36,1.14,58.7,,266.48817,-28.98768
157,359.99307,-0.08222,11.83,33.2,157.88,27.20,2.15,1.19,230.9,,266.48109,-28.98490
158,359.99125,-0.04605,24.35,82.9,200.40,13.24,2.15,1.93,45.5,,266.44471,-28.96763
159,359.98948,-0.06961,36.55,49.7,4640.42,9.75,2.15,1.18,54.9,,266.46665,-28.98141
160,359.98945,-0.05699,344.67,66.3,334.04,41.22,1.92,0.95,235.9,SPF 2010,266.45432,-28.97486
161,359.98874,-0.08297,17.84,16.6,353.04,22.55,2.60,1.36,47.1,,266.47925,-28.98899
162,359.98733,-0.09945,0.62,-132.6,14.30,2.30,1.89,0.78,224.4,,266.49450,-28.99877
163,359.98725,-0.04716,7.12,66.3,133.69,19.12,1.82,1.00,237.7,,266.44341,-28.97162
164,359.98442,-0.06142,468.31,49.7,7260.27,56.31,2.16,1.02,242.8,SPF 2010,266.45565,-28.98146
165,359.98313,-0.06307,243.67,49.7,3847.74,256.27,2.23,0.97,236.4,SPF 2010,266.45649,-28.98342
166,359.98229,-0.04431,6.66,0.0,68.40,8.44,2.60,1.28,69.3,,266.43768,-28.97437
167,359.97477,-0.07051,238.62,49.7,4403.94,198.13,1.99,0.93,234.3,SPF 2010,266.45877,-28.99443
168,359.96946,-0.07529,270.76,49.7,3086.45,127.20,2.27,1.32,243.3,SPF 2010,266.46028,-29.00146
169,359.95024,-0.05775,6.46,16.6,94.22,7.27,2.17,1.08,235.4,SPF 2010,266.43171,-29.00873
170,359.94841,0.01754,4.89,66.3,20.95,3.60,1.99,1.21,67.1,,266.35716,-28.97106
171,359.94789,-0.07981,1.48,33.2,73.30,11.92,1.98,1.15,54.6,,266.45185,-29.02223
172,359.94634,0.09725,1.51,82.9,25.52,4.66,1.81,1.12,72.7,,266.27821,-28.93124
173,359.94603,-0.08819,5.47,33.2,49.17,7.09,3.22,1.18,241.7,,266.45892,-29.02818
174,359.94057,-0.09195,3.35,66.3,61.44,3.28,2.07,0.90,237.2,,266.45934,-29.03480
175,359.93894,-0.12680,1.51,-99.5,17.42,2.43,2.43,1.22,231.4,,266.49241,-29.05433
176,359.93748,0.02629,11.31,66.3,44.72,5.65,4.57,1.89,105.7,,266.34211,-28.97582
177,359.93498,-0.12659,1.67,-99.5,14.26,2.56,2.48,1.61,19.4,,266.48985,-29.05760
178,359.93353,0.02722,3.71,66.3,29.82,5.68,1.81,0.79,71.7,,266.33885,-28.97871
179,359.93280,-0.05830,1.25,49.7,22.49,4.22,4.34,1.30,228.5,,266.42186,-29.02390
